dim_value,forecast_month,year,month_num,target_eom_amount,overall_importance_tier,eom_importance_tier,overall_importance_score,eom_importance_score,eom_risk_flag,has_eom_history,eom_regularity_score,eom_stability_score,eom_recency_score,eom_concentration_score,eom_volume_score,eom_pattern_primary,eom_pattern_confidence_pct,prob_continuous_stable_pct,prob_continuous_volatile_pct,prob_intermittent_active_pct,prob_intermittent_dormant_pct,prob_rare_recent_pct,prob_rare_stale_pct,pattern_uncertainty,general_pattern,segment_name,full_segment_name,combined_priority,recommended_method,forecast_complexity,total_volume_12m,eom_volume_12m,non_eom_volume_12m,avg_monthly_volume,max_transaction,max_eom_transaction,eom_concentration,eom_predictability,eom_frequency,eom_zero_ratio,eom_cv,monthly_cv,transaction_regularity,activity_rate,transaction_dispersion,quarter_end_concentration,year_end_concentration,active_months_12m,total_nonzero_eom_count,months_inactive,months_of_history,cumulative_overall_portfolio_pct,cumulative_eom_portfolio_pct,lag_1m_eom,lag_3m_eom,lag_12m_eom,eom_ma3,eom_yoy_growth,eom_mom_growth,is_quarter_end,is_year_end,month_of_year,is_zero_eom,current_month_has_eom,raw_rf__active_months_12m,raw_rf__rolling_avg_day_dispersion,raw_rf__rolling_avg_monthly_volume,raw_rf__rolling_avg_non_eom,raw_rf__rolling_avg_nonzero_eom,raw_rf__rolling_avg_transactions,raw_rf__rolling_eom_volume_12m,raw_rf__rolling_max_eom,raw_rf__rolling_max_transaction,raw_rf__rolling_non_eom_volume_12m,raw_rf__rolling_nonzero_eom_months,raw_rf__rolling_quarter_end_volume,raw_rf__rolling_std_eom,raw_rf__rolling_std_monthly,raw_rf__rolling_std_transactions,raw_rf__rolling_total_volume_12m,raw_rf__rolling_year_end_volume,raw_rf__rolling_zero_eom_months,raw_rf__total_nonzero_eom_count,raw_rf__eom_amount_12m_ago,raw_rf__eom_amount_3m_ago,raw_rf__eom_amount_1m_ago,raw_rf__eom_ma3,raw_rf__months_of_history,raw_rf__months_since_last_eom,raw_pm__eom_concentration,raw_pm__eom_predictability,raw_pm__eom_frequency,raw_pm__eom_zero_ratio,raw_pm__eom_spike_ratio,raw_pm__eom_cv,raw_pm__monthly_cv,raw_pm__transaction_regularity,raw_pm__activity_rate,raw_pm__quarter_end_concentration,raw_pm__year_end_concentration,raw_pm__transaction_dispersion,raw_pm__has_eom_history,raw_pm__months_inactive,raw_pm__eom_periodicity
series_011,2024-11-01,2024,11,105.27769182612417,NONE,MEDIUM,0.35071,0.49897,False,True,83.8,14.9,70.8,55.3,14.4,INTERMITTENT_ACTIVE,68.4,2.7,65.6,9.6,14.0,2.7,5.3,1.841,HIGHLY_SEASONAL,NONE_HIGHLY_SEASONAL_INTERMITTENT_ACTIVE,NONE_HIGHLY_SEASONAL__MEDIUMEOM_INTERMITTENT_ACTIVE,97.39,Historical_Average,4,4670.884368247587,78.1042960313077,4592.780072216279,389.2403640206323,131.66336011252733,100.49482935580144,0.675,0.568,0.344,0.087,0.923,0.2,0.217,0.367,3.89,0.076,0.509,10,1,2,78,0.5514,0.0819,107.0525184822847,117.33995011156487,85.37383339623581,120.22,0.046,0.015,False,False,11,0,True,10,2.7461004994343186,389.2403640206323,382.73167268468995,78.1042960313077,390.5844457367091,78.1042960313077,100.49482935580144,131.66336011252733,4592.780072216279,1,352.9751398553522,97.12821669270114,77.83406708405558,64.81179230208346,4670.884368247587,2376.639094565302,11,1,85.37383339623581,117.33995011156487,107.0525184822847,120.22470449977716,78,9,0.674719682993717,0.5678373572505157,0.34359621245694577,0.08721424551253437,0.4127167270830301,0.922590674319849,0.19996401781170325,0.2168135049888744,0.3668965412604036,0.07556923101219495,0.5088199379803882,3.8929093319430748,True,2,0.9636832722605021
series_011,2023-12-01,2023,12,108.88877312957636,NONE,MEDIUM,0.35796,0.5202,False,True,92.6,26.5,76.6,51.3,20.8,INTERMITTENT_ACTIVE,68.4,2.7,65.6,9.6,14.0,2.7,5.3,1.679,HIGHLY_SEASONAL,NONE_HIGHLY_SEASONAL_INTERMITTENT_ACTIVE,NONE_HIGHLY_SEASONAL__MEDIUMEOM_INTERMITTENT_ACTIVE,97.18,Historical_Average,4,3340.9181709307495,14.37425779954049,3326.543913131209,278.40984757756246,208.85271770834356,51.45454123962135,0.59,0.383,0.379,0.175,0.717,0.017,0.216,0.384,3.31,0.034,0.573,11,9,1,67,0.5458,0.0803,63.5455521738508,113.2837891475253,25.78118901705295,77.01,1.299,-0.132,True,True,12,0,True,11,4.617380189091919,278.40984757756246,277.2119927609341,1.597139755504499,603.3073851262088,14.37425779954049,51.45454123962135,208.85271770834356,3326.543913131209,9,112.8480332644743,78.02983912959455,4.767568043298223,18.710842291725307,3340.9181709307495,1914.3667656742787,3,9,25.78118901705295,113.2837891475253,63.5455521738508,77.01027218136208,67,5,0.5902011681594042,0.38319663467694387,0.37903493422659834,0.17513402850760212,0.37330497768381043,0.716601325250859,0.01712427949219728,0.21583626647247947,0.38446572326555417,0.03377755080814681,0.5730061820523289,3.30850084108357,True,1,0.5645840583758897
series_011,2024-12-01,2024,12,127.16208681046007,NONE,MEDIUM,0.37565,0.59231,False,True,85.8,15.6,67.1,51.9,17.6,INTERMITTENT_ACTIVE,68.4,2.7,65.6,9.6,14.0,2.7,5.3,1.719,HIGHLY_SEASONAL,NONE_HIGHLY_SEASONAL_INTERMITTENT_ACTIVE,NONE_HIGHLY_SEASONAL__MEDIUMEOM_INTERMITTENT_ACTIVE,97.0,Historical_Average,4,3307.7956408726054,45.09949338705669,3262.696147485549,275.64963673938377,197.78505993164666,65.42203047153377,0.649,0.527,0.295,0.079,0.835,0.086,0.267,0.42,4.57,0.035,0.591,10,5,2,79,0.5449,0.0763,109.71799561659925,108.31626325008946,113.22444549795114,140.65,0.959,-0.274,True,True,12,0,True,10,1.0322134606453448,275.64963673938377,271.89134562379576,9.019898677411337,532.1666351022008,45.09949338705669,65.42203047153377,197.78505993164666,3262.696147485549,5,114.33791855326086,106.15919226332942,23.804741901836298,20.400863651076705,3307.7956408726054,1954.0924508314993,7,5,113.22444549795114,108.31626325008946,109.71799561659925,140.6536036235039,79,1,0.6488659001721866,0.5266642088082705,0.294539634620391,0.07935861048146664,0.5109967919343424,0.8348336750840188,0.08635869135696622,0.2673677986886698,0.42046345208823926,0.034566197845009014,0.5907536809970535,4.569973704053206,True,2,0.07914862094972763
series_011,2024-07-01,2024,7,98.18196835543155,NONE,MEDIUM,0.3332,0.53995,False,True,79.1,10.7,68.5,55.4,4.9,INTERMITTENT_ACTIVE,68.4,2.7,65.6,9.6,14.0,2.7,5.3,1.74,HIGHLY_SEASONAL,NONE_HIGHLY_SEASONAL_INTERMITTENT_ACTIVE,NONE_HIGHLY_SEASONAL__MEDIUMEOM_INTERMITTENT_ACTIVE,96.96,Historical_Average,4,4313.307714677233,46.066927297588634,4267.240787379645,359.4423095564361,96.8741975389054,91.16207271695924,0.598,0.455,0.26,0.121,0.644,0.038,0.237,0.365,4.15,0.0,0.646,9,8,3,74,0.5476,0.0928,117.239827942454,110.52487440321626,73.94185362010165,90.61,0.507,-0.298,False,False,7,0,True,9,3.0396002923243994,359.4423095564361,355.6033989483037,5.758365912198579,388.61926800361874,46.066927297588634,91.16207271695924,96.8741975389054,4267.240787379645,8,0.0,63.217671195380554,13.539488423878321,98.74566169600773,4313.307714677233,2785.8643058333228,4,8,73.94185362010165,110.52487440321626,117.239827942454,90.61281843623938,74,8,0.598119020669318,0.45452565839365894,0.2601523120989364,0.12120045701068986,0.29100679437916466,0.643882703252845,0.03766804314324183,0.23676317045137596,0.36484834757334883,0.0,0.6458765499974978,4.147771419910471,True,3,0.05776629897206842
series_011,2025-04-01,2025,4,174.16328139958085,NONE,MEDIUM,0.40839,0.54398,False,True,88.1,15.7,71.0,46.8,5.5,INTERMITTENT_ACTIVE,68.4,2.7,65.6,9.6,14.0,2.7,5.3,1.719,HIGHLY_SEASONAL,NONE_HIGHLY_SEASONAL_INTERMITTENT_ACTIVE,NONE_HIGHLY_SEASONAL__MEDIUMEOM_INTERMITTENT_ACTIVE,96.96,Historical_Average,4,8502.07651549686,24.826503735607883,8477.25001176125,708.506376291405,115.32812282003093,158.01837286659875,0.595,0.427,0.331,0.117,0.915,0.023,0.227,0.448,3.47,0.162,0.638,13,10,-1,83,0.5505,0.0759,94.03557277590191,181.69930547253688,94.96272917352975,138.55,0.297,0.217,False,False,4,0,True,13,1.5020492939339847,708.506376291405,706.4375009801042,2.482650373560788,817.3175148588633,24.826503735607883,158.01837286659875,115.32812282003093,8477.25001176125,10,1377.061710064461,159.4270668641395,16.20483580057877,42.549141345154325,8502.07651549686,5424.010895091868,2,10,94.96272917352975,181.69930547253688,94.03557277590191,138.55103575561088,83,8,0.5945378635502854,0.4272150587163113,0.3309796799161862,0.11666789941865766,0.6092974392914143,0.9153885111889215,0.022871827753196967,0.22684499445083023,0.44785185071851064,0.16196769195789645,0.6379630770442308,3.4735578008283374,True,-1,0.1158527770037645
series_011,2024-06-01,2024,6,107.95336466168483,NONE,MEDIUM,0.49673,0.57807,False,True,100.0,12.9,73.6,52.9,2.6,INTERMITTENT_ACTIVE,68.4,2.7,65.6,9.6,14.0,2.7,5.3,1.853,HIGHLY_SEASONAL,NONE_HIGHLY_SEASONAL_INTERMITTENT_ACTIVE,NONE_HIGHLY_SEASONAL__MEDIUMEOM_INTERMITTENT_ACTIVE,96.69,Historical_Average,4,2358.2072699576147,77.78096477930062,2280.426305178314,196.51727249646788,102.8874693135708,124.87467758742953,0.641,0.523,0.322,0.203,0.997,0.0,0.312,0.397,4.35,0.0,0.641,12,4,0,73,0.5466,0.0666,100.09232613291579,55.60926895852758,46.64807702978184,108.65,0.377,-0.171,True,False,6,0,True,12,1.9132057753278575,196.51727249646788,190.03552543152617,19.445241194825154,617.1535298947985,77.78096477930062,124.87467758742953,102.8874693135708,2280.426305178314,4,0.0,107.60213341949338,0.0,81.37482955675476,2358.2072699576147,1511.3525755487415,8,4,46.64807702978184,55.60926895852758,100.09232613291579,108.64744635336552,73,5,0.6406932773479389,0.5227582673517505,0.3215317929227401,0.202999596848512,0.4241508800582665,0.9967464539591502,0.0,0.3119921349154624,0.3974767282251644,0.0,0.6408904742185388,4.347172297160355,True,0,0.242180718172753
series_011,2023-01-01,2023,1,150.2088873871472,NONE,MEDIUM,0.33069,0.57235,False,True,86.5,11.3,60.5,65.2,5.3,INTERMITTENT_ACTIVE,68.4,2.7,65.6,9.6,14.0,2.7,5.3,1.808,HIGHLY_SEASONAL,NONE_HIGHLY_SEASONAL_INTERMITTENT_ACTIVE,NONE_HIGHLY_SEASONAL__MEDIUMEOM_INTERMITTENT_ACTIVE,96.52,Historical_Average,4,3915.916886671748,22.47658882299486,3893.4402978487533,326.3264072226457,248.03393385985922,57.906010118706654,0.569,0.471,0.39,0.113,0.917,0.107,0.222,0.421,3.47,0.025,0.581,11,8,1,56,0.5416,0.0936,115.80316242848684,147.1920232654123,92.69543853414325,116.13,0.513,-0.19,False,False,1,0,True,11,3.472398709766964,326.3264072226457,324.45335815406276,2.8095736028743574,355.23004270844507,22.47658882299486,57.906010118706654,248.03393385985922,3893.4402978487533,8,98.48828054248635,137.70553615818977,34.981585707411924,88.40856965764617,3915.916886671748,2274.894215484722,4,8,92.69543853414325,147.1920232654123,115.80316242848684,116.12983452102439,56,0,0.5687962848341832,0.4709494862971283,0.3904044422392067,0.11330090819997131,0.06400008275238689,0.9167602433754043,0.10719814557803997,0.22158836358504747,0.42142110054508886,0.025150758658260084,0.5809352653085088,3.469124627900002,True,1,0.136227778318449
series_011,2024-08-01,2024,8,120.16259991547783,NONE,MEDIUM,0.37312,0.61194,False,True,81.1,21.8,65.5,48.1,14.7,INTERMITTENT_ACTIVE,68.4,2.7,65.6,9.6,14.0,2.7,5.3,1.66,HIGHLY_SEASONAL,NONE_HIGHLY_SEASONAL_INTERMITTENT_ACTIVE,NONE_HIGHLY_SEASONAL__MEDIUMEOM_INTERMITTENT_ACTIVE,96.42,Historical_Average,4,1416.5821303602283,29.252273539096823,1387.3298568211314,118.04851086335236,102.06245718770185,95.8963147386886,0.614,0.63,0.268,0.183,0.812,0.0,0.235,0.448,3.66,0.0,0.588,10,8,2,75,0.5532,0.0534,132.39087985841996,144.04889360305336,33.77358861760676,125.17,0.365,0.016,False,False,8,0,True,10,3.2421196588578938,118.04851086335236,115.61082140176096,3.656534192387103,297.0587385857489,29.252273539096823,95.8963147386886,102.06245718770185,1387.3298568211314,8,0.0,97.57388946065953,0.0,84.53351220226423,1416.5821303602283,832.7027751983695,4,8,33.77358861760676,144.04889360305336,132.39087985841996,125.16867244451164,75,9,0.6135710578388915,0.6300143246364149,0.2684582907861445,0.18262070652340334,0.6201095320161573,0.8120154651221998,0.0,0.23519832655425602,0.44822150394541804,0.0,0.5878252713710417,3.660390949599536,True,2,0.5961929706974873
series_011,2023-03-01,2023,3,123.41722452835499,NONE,MEDIUM,0.30974,0.51567,False,False,92.5,19.3,70.2,49.0,9.0,INTERMITTENT_ACTIVE,68.4,2.7,65.6,9.6,14.0,2.7,5.3,1.69,HIGHLY_SEASONAL,NONE_HIGHLY_SEASONAL_INTERMITTENT_ACTIVE,NONE_HIGHLY_SEASONAL__MEDIUMEOM_INTERMITTENT_ACTIVE,96.18,Historical_Average,4,1794.2914529548375,16.956498628424782,1777.3349543264128,149.52428774623647,174.32021702704685,142.96945701156798,0.541,0.516,0.307,0.08,0.775,0.0,0.224,0.417,4.63,0.052,0.624,9,0,3,58,0.5496,0.0799,145.5923214087742,116.21742575594855,116.2353359714586,112.91,-0.019,-0.259,True,False,3,0,True,9,1.8282108135210566,149.52428774623647,148.11124619386774,16.956498628424782,55.02317179297656,16.956498628424782,142.96945701156798,174.32021702704685,1777.3349543264128,0,92.59620255345307,95.62013711837618,0.0,58.92009067638531,1794.2914529548375,1120.2646983894372,12,0,116.2353359714586,116.21742575594855,145.5923214087742,112.90822750932443,58,10,0.5410086724928543,0.5163364690394173,0.3068675719256203,0.08025168516139988,0.7735191902421031,0.7747714104234092,0.0,0.2238758672290425,0.41670637272784194,0.05160599879187171,0.6243493477854929,4.634050461925968,False,3,0.1498162860461033
series_011,2025-01-01,2025,1,113.21627516657455,NONE,MEDIUM,0.38508,0.62177,False,True,90.8,20.5,71.9,60.2,13.7,INTERMITTENT_ACTIVE,68.4,2.7,65.6,9.6,14.0,2.7,5.3,1.774,HIGHLY_SEASONAL,NONE_HIGHLY_SEASONAL_INTERMITTENT_ACTIVE,NONE_HIGHLY_SEASONAL__MEDIUMEOM_INTERMITTENT_ACTIVE,96.13,Historical_Average,4,1615.4376164434761,54.90969417716002,1560.5279222663162,134.61980137028968,157.04355417476037,37.90303325444737,0.568,0.421,0.307,0.099,0.764,0.07,0.118,0.406,3.94,0.0,0.664,11,5,1,80,0.5361,0.0722,138.3860846690678,47.33194249089989,71.6916229716608,128.11,-0.407,0.213,False,False,1,0,True,11,3.351600329153908,134.61980137028968,130.043993522193,10.981938835432004,902.1199268933101,54.90969417716002,37.90303325444737,157.04355417476037,1560.5279222663162,5,0.0,86.47018275853014,9.397960104384508,1.5945686453310848,1615.4376164434761,1072.3221651330887,7,5,71.6916229716608,47.33194249089989,138.3860846690678,128.10680714958315,80,10,0.56780060664173,0.42091962732440075,0.3065389163463258,0.09882996453793587,0.5608936438039106,0.7637610637808653,0.06981112740267806,0.11791270994428879,0.40574476306976964,0.0,0.6637967038887564,3.943574084280343,True,1,0.9361915411152101
